0.01, 905, 801, 1605650, 1958103, 0.820003
0.02, 905, 793, 1605650, 992988, 1.61699
0.03, 905, 787, 1605650, 667921, 2.40395
0.04, 905, 797, 1605650, 501531, 3.2015
0.05, 905, 792, 1605650, 395450, 4.06031
0.06, 905, 773, 1605650, 342302, 4.69074
0.07, 905, 798, 1605650, 279961, 5.73526
0.08, 905, 781, 1605650, 254697, 6.30416
0.09, 905, 773, 1605650, 222018, 7.23207
0.1, 905, 771, 1605650, 205716, 7.80518
0.11, 905, 777, 1605650, 187084, 8.58251
0.12, 905, 791, 1605650, 173582, 9.2501
0.13, 905, 766, 1605650, 155122, 10.3509
0.14, 905, 769, 1605650, 155366, 10.3346
0.15, 905, 777, 1605650, 135646, 11.8371
0.16, 905, 748, 1605650, 135394, 11.8591
0.17, 905, 802, 1605650, 127522, 12.5912
0.18, 905, 728, 1605650, 118740, 13.5224
0.19, 905, 745, 1605650, 103037, 15.5832
0.2, 905, 735, 1605650, 102696, 15.635
0.21, 905, 700, 1605650, 101607, 15.8026
0.22, 905, 784, 1605650, 88931, 18.055
0.23, 905, 703, 1605650, 101171, 15.8707
0.24, 905, 751, 1605650, 86217, 18.6234
0.25, 905, 789, 1605650, 89749, 17.8905
0.26, 905, 756, 1605650, 84446, 19.0139
0.27, 905, 777, 1605650, 84258, 19.0564
0.28, 905, 774, 1605650, 84058, 19.1017
0.29, 905, 806, 1605650, 79560, 20.1816
0.3, 905, 777, 1605650, 71766, 22.3734
0.31, 905, 735, 1605650, 68857, 23.3186
0.32, 905, 683, 1605650, 67791, 23.6853
0.33, 905, 759, 1605650, 67490, 23.7909
0.34, 905, 753, 1605650, 69127, 23.2275
0.35, 905, 672, 1605650, 67523, 23.7793
0.36, 905, 802, 1605650, 60192, 26.6755
0.37, 905, 700, 1605650, 67452, 23.8043
0.38, 905, 777, 1605650, 67215, 23.8883
0.39, 905, 703, 1605650, 51346, 31.2712
0.4, 905, 755, 1605650, 67012, 23.9606
0.41, 905, 683, 1605650, 51022, 31.4698
0.42, 905, 789, 1605650, 56015, 28.6646
0.43, 905, 656, 1605650, 50925, 31.5297
0.44, 905, 735, 1605650, 51979, 30.8904
0.45, 905, 680, 1605650, 50669, 31.689
0.46, 905, 668, 1605650, 50766, 31.6285
0.47, 905, 756, 1605650, 52544, 30.5582
0.48, 905, 689, 1605650, 50478, 31.8089
0.49, 905, 662, 1605650, 50564, 31.7548
