10, 44, 20, 12, 137625, 19
15, 64, 33, 61, 206400, 1770
20, 83, 35, 61, 275150, 718
25, 98, 43, 61, 343875, 584
30, 113, 51, 61, 412575, 421
35, 126, 53, 64, 481250, 431
40, 136, 56, 67, 549900, 448
45, 143, 62, 63, 618525, 441
50, 148, 73, 63, 687125, 460
55, 153, 82, 67, 755700, 469
60, 153, 74, 68, 824250, 487
65, 153, 77, 68, 892775, 507
70, 153, 70, 69, 961275, 527
75, 153, 80, 70, 1029750, 547
80, 153, 87, 76, 1098200, 567
85, 153, 98, 76, 1166625, 587
90, 153, 92, 78, 1235025, 607
95, 153, 92, 78, 1303400, 627
100, 153, 82, 79, 1371750, 647
