10, 43, 18, 10, 138335, 20
15, 63, 25, 61, 207465, 1535
20, 83, 38, 61, 276570, 763
25, 100, 42, 61, 345650, 509
30, 115, 47, 61, 414705, 514
35, 128, 49, 64, 483735, 525
40, 138, 60, 61, 552740, 528
45, 148, 50, 63, 621720, 545
50, 156, 61, 61, 690675, 527
55, 161, 66, 62, 759605, 543
60, 162, 86, 62, 828510, 561
65, 162, 72, 63, 897390, 581
70, 162, 67, 64, 966245, 601
75, 162, 75, 64, 1035075, 621
80, 162, 88, 65, 1103880, 641
85, 162, 91, 66, 1172660, 661
90, 162, 91, 68, 1241415, 681
95, 162, 82, 69, 1310145, 701
100, 162, 101, 73, 1378850, 721
