10, 44, 21, 41, 137575, 28426
15, 64, 33, 59, 206325, 31285
20, 83, 37, 79, 275050, 35395
25, 98, 46, 95, 343750, 38640
30, 113, 49, 104, 412425, 52734
35, 125, 47, 116, 481075, 69104
40, 135, 61, 126, 549700, 72044
45, 145, 59, 126, 618300, 96725
50, 151, 66, 139, 686875, 100780
55, 156, 66, 147, 755425, 113123
60, 161, 76, 153, 823950, 118820
65, 164, 74, 153, 892450, 119488
70, 164, 75, 154, 960925, 136629
75, 164, 79, 155, 1029375, 146158
80, 164, 80, 158, 1097800, 157651
85, 164, 87, 154, 1166200, 158915
90, 164, 87, 160, 1234575, 172532
95, 164, 88, 164, 1302925, 172862
100, 164, 103, 164, 1371250, 186956
