10, 44, 23, 8, 138805, 19
15, 64, 32, 61, 208170, 2180
20, 84, 37, 61, 277510, 757
25, 100, 47, 61, 346825, 675
30, 115, 51, 61, 416115, 593
35, 130, 54, 62, 485380, 510
40, 142, 64, 61, 554620, 417
45, 152, 58, 63, 623835, 348
50, 159, 75, 63, 693025, 355
55, 164, 75, 64, 762190, 371
60, 169, 71, 66, 831330, 384
65, 173, 84, 67, 900445, 404
70, 173, 77, 69, 969535, 424
75, 173, 78, 69, 1038600, 444
80, 173, 81, 69, 1107640, 464
85, 173, 98, 69, 1176655, 484
90, 173, 87, 70, 1245645, 504
95, 173, 97, 70, 1314610, 524
100, 173, 114, 70, 1383550, 544
