10, 43, 30, 8, 138605, 23
15, 63, 29, 61, 207870, 1757
20, 83, 35, 61, 277110, 901
25, 98, 41, 62, 346325, 512
30, 113, 48, 62, 415515, 450
35, 126, 63, 62, 484680, 404
40, 136, 49, 62, 553820, 398
45, 146, 59, 61, 622935, 389
50, 156, 73, 63, 692025, 384
55, 162, 72, 64, 761090, 401
60, 167, 73, 65, 830130, 416
65, 168, 80, 65, 899145, 436
70, 168, 84, 65, 968135, 456
75, 168, 86, 66, 1037100, 476
80, 168, 89, 67, 1106040, 496
85, 168, 93, 70, 1174955, 516
90, 168, 89, 70, 1243845, 536
95, 168, 93, 73, 1312710, 556
100, 168, 108, 74, 1381550, 576
