10, 44, 23, 45, 139115, 29501
15, 64, 36, 59, 208635, 33570
20, 84, 37, 79, 278130, 38111
25, 100, 43, 96, 347600, 40159
30, 115, 54, 104, 417045, 53127
35, 130, 54, 126, 486465, 60842
40, 140, 60, 131, 555860, 70786
45, 150, 63, 135, 625230, 96587
50, 160, 73, 139, 694575, 100117
55, 167, 77, 153, 763895, 105092
60, 172, 69, 153, 833190, 116771
65, 174, 77, 161, 902460, 115955
70, 174, 85, 162, 971705, 129090
75, 174, 73, 162, 1040925, 143161
80, 174, 84, 168, 1110120, 148270
85, 174, 87, 168, 1179290, 147206
90, 174, 94, 168, 1248435, 161232
95, 174, 89, 168, 1317555, 160952
100, 174, 99, 174, 1386650, 175145
