10, 43, 22, 13, 137565, 19
15, 63, 34, 61, 206310, 3107
20, 80, 33, 61, 275030, 1296
25, 95, 44, 61, 343725, 757
30, 109, 47, 61, 412395, 537
35, 119, 53, 62, 481040, 536
40, 129, 55, 61, 549660, 520
45, 139, 65, 62, 618255, 526
50, 145, 59, 61, 686825, 529
55, 150, 62, 61, 755370, 500
60, 154, 70, 61, 823890, 517
65, 154, 75, 61, 892385, 537
70, 154, 86, 61, 960855, 557
75, 154, 68, 62, 1029300, 577
80, 154, 77, 62, 1097720, 597
85, 154, 87, 62, 1166115, 617
90, 154, 80, 62, 1234485, 637
95, 154, 76, 63, 1302830, 657
100, 154, 88, 63, 1371150, 677
