10, 43, 22, 12, 138555, 19
15, 63, 26, 61, 207795, 2504
20, 82, 35, 61, 277010, 880
25, 97, 44, 61, 346200, 662
30, 112, 47, 61, 415365, 434
35, 124, 54, 62, 484505, 416
40, 134, 61, 64, 553620, 429
45, 144, 71, 62, 622710, 415
50, 154, 65, 63, 691775, 429
55, 159, 67, 61, 760815, 436
60, 162, 75, 62, 829830, 454
65, 162, 70, 65, 898820, 474
70, 162, 82, 67, 967785, 494
75, 162, 78, 68, 1036725, 514
80, 162, 93, 68, 1105640, 534
85, 162, 85, 68, 1174530, 554
90, 162, 99, 69, 1243395, 574
95, 162, 90, 73, 1312235, 594
100, 162, 107, 74, 1381050, 614
